Name,FDC,FBD,PLO,Ske,Kur,CL,h_max,Ang,NBC,Gra,MAPE,RD
Landscape results/spark/DECART/spark_DECART_Run13_None-Off_252-2448_05-31_03-35-00_2.csv,0.06614435110937959,8,1.0,-0.23251804806654097,-1.4156592338799066,3.439676315204058,0.8390895060014057,nan,0.2585906844566701,nan,5.211673866149321,143.61860795454547
Landscape results/spark/DECART/spark_DECART_Run6_None-Off_252-2448_05-31_03-34-58_2.csv,-0.008616194956570209,8,0.9992952783650458,-0.17812767822696507,-1.4414301097494078,3.568630355615722,0.8351801153499372,nan,0.3129784588928751,nan,5.357796617871701,147.47004933051446
Landscape results/spark/DECART/spark_DECART_Run11_None-Off_252-2448_05-31_03-34-59_2.csv,0.46022202825636127,7,0.9985865724381625,-0.24244293710350034,-1.416843681841279,2.5705571085071943,0.8414070274991309,nan,0.3492329324300329,nan,4.901785892949058,139.86219081272085
Landscape results/spark/DECART/spark_DECART_Run17_None-Off_252-2448_05-31_03-35-01_2.csv,0.10037849321726043,8,0.9978586723768736,-0.23913581652444402,-1.3609159658101428,2.4760801669925496,0.8437656215301439,nan,0.3086623981514779,nan,5.159169309603767,136.29550321199144
Landscape results/spark/DECART/spark_DECART_Run16_None-Off_252-2448_05-31_03-35-01_2.csv,-0.05960350033358206,8,1.0,-0.2391935319848691,-1.3921427749317983,6.842202547786113,0.838970741662213,nan,0.32917595003725325,nan,5.236037953408792,136.5095948827292
Landscape results/spark/DECART/spark_DECART_Run15_None-Off_252-2448_05-31_03-35-00_2.csv,-0.05958061370653046,8,0.9992877492877493,-0.2502637770788023,-1.3643042153690619,3.3685748555790496,0.8357256735260383,nan,0.3835851745326124,nan,5.434895972302933,140.3960113960114
Landscape results/spark/DECART/spark_DECART_Run23_None-Off_252-2448_05-31_03-35-03_2.csv,0.123482330326843,8,0.9978586723768736,-0.2531997762466909,-1.380647619640267,1.2462827902650526,0.8371934153395199,nan,0.2966482715377177,nan,5.3262312934647085,135.02498215560314
Landscape results/spark/DECART/spark_DECART_Run9_None-Off_252-2448_05-31_03-34-58_2.csv,0.13444258751907845,9,0.9978601997146933,-0.292034039087564,-1.3076618806966454,6.959110298374989,0.8422464224499238,nan,0.36514569978294087,nan,5.453563209019919,141.47075606276746
Landscape results/spark/DECART/spark_DECART_Run4_None-Off_252-2448_05-31_03-34-57_2.csv,-0.0525827861156457,8,0.9985775248933144,-0.23246842202964324,-1.3778874873755638,1.7676653760023275,0.8397918740948659,nan,0.298473885789387,nan,5.465943722430005,135.18563300142247
Landscape results/spark/DECART/spark_DECART_Run22_None-Off_252-2448_05-31_03-35-02_2.csv,0.6935392811647886,7,0.9985580389329488,-0.2529531397207778,-1.379748797787206,3.291592557108137,0.8351843319106442,nan,0.32570639507931426,nan,5.202623538306434,136.75414563806777
