System,Model,FDC,FBD,Ske,Kur,PLO,CL,MIE,NBC,MAPE,RD,OR_0,OR_1,OR_2,OR_3,Ac_0,Ac_1,Ac_2,Ac_3,SH,perf
7z,DaL,0.0870000502092696,3.0,0.009351398524394,0.1005414025355957,0.0017988929889298,-3.5131086600016985,0.7729903771081161,0.8856432083857078,5.408502357328064,1945.1535209102087,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4308.26
7z,DaL,0.0870000502092696,3.0,0.009351398524394,0.1005414025355957,0.0017988929889298,-3.5131086600016985,0.7729903771081161,0.8856432083857078,5.408502357328064,1945.1535209102087,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4309.2733333333335
7z,DaL,0.0870000502092696,3.0,0.009351398524394,0.1005414025355957,0.0017988929889298,-3.5131086600016985,0.7729903771081161,0.8856432083857078,5.408502357328064,1945.1535209102087,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,6006.166666666667
7z,DaL,0.0870000502092696,3.0,0.009351398524394,0.1005414025355957,0.0017988929889298,-3.5131086600016985,0.7729903771081161,0.8856432083857078,5.408502357328064,1945.1535209102087,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4704.56
7z,DaL,0.0870000502092696,3.0,0.009351398524394,0.1005414025355957,0.0017988929889298,-3.5131086600016985,0.7729903771081161,0.8856432083857078,5.408502357328064,1945.1535209102087,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,4292.553333333333
7z,DaL,0.0870000502092696,3.0,0.009351398524394,0.1005414025355957,0.0017988929889298,-3.5131086600016985,0.7729903771081161,0.8856432083857078,5.408502357328064,1945.1535209102087,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,4291.619999999999
7z,DaL,0.0870000502092696,3.0,0.009351398524394,0.1005414025355957,0.0017988929889298,-3.5131086600016985,0.7729903771081161,0.8856432083857078,5.408502357328064,1945.1535209102087,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4252.126666666666
7z,DaL,0.0870000502092696,3.0,0.009351398524394,0.1005414025355957,0.0017988929889298,-3.5131086600016985,0.7729903771081161,0.8856432083857078,5.408502357328064,1945.1535209102087,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4292.553333333333
7z,DECART,0.038500513633547,1.0,0.0008461539252846,0.0118519341330838,0.0228244157441574,-5.277486033982765,0.8091225858828321,0.4839746428094366,0.4666588787128731,602.6640682656827,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4728.3
7z,DECART,0.038500513633547,1.0,0.0008461539252846,0.0118519341330838,0.0228244157441574,-5.277486033982765,0.8091225858828321,0.4839746428094366,0.4666588787128731,602.6640682656827,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4779.1466666666665
7z,DECART,0.038500513633547,1.0,0.0008461539252846,0.0118519341330838,0.0228244157441574,-5.277486033982765,0.8091225858828321,0.4839746428094366,0.4666588787128731,602.6640682656827,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,5822.053333333332
7z,DECART,0.038500513633547,1.0,0.0008461539252846,0.0118519341330838,0.0228244157441574,-5.277486033982765,0.8091225858828321,0.4839746428094366,0.4666588787128731,602.6640682656827,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4549.1
7z,DECART,0.038500513633547,1.0,0.0008461539252846,0.0118519341330838,0.0228244157441574,-5.277486033982765,0.8091225858828321,0.4839746428094366,0.4666588787128731,602.6640682656827,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,4460.04
7z,DECART,0.038500513633547,1.0,0.0008461539252846,0.0118519341330838,0.0228244157441574,-5.277486033982765,0.8091225858828321,0.4839746428094366,0.4666588787128731,602.6640682656827,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,4297.326666666666
