System,Model,FDC,FBD,Ske,Kur,PLO,CL,MIE,NBC,MAPE,RD,OR_0,OR_1,OR_2,OR_3,Ac_0,Ac_1,Ac_2,Ac_3,SH,perf
7z,DECART,0.038500513633547,1.0,0.0008461539252846,0.0118519341330838,0.0228244157441574,-5.277486033982765,0.8091225858828321,0.4839746428094366,0.4666588787128731,602.6640682656827,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4238.9333333333325
7z,DECART,0.038500513633547,1.0,0.0008461539252846,0.0118519341330838,0.0228244157441574,-5.277486033982765,0.8091225858828321,0.4839746428094366,0.4666588787128731,602.6640682656827,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4455.8
7z,DeepPerf,0.1687878672726042,4.0,0.0062964845953459,0.1114234564975564,0.0016758917589175,-3.452849314948563,0.7797435080196422,0.8820254464684842,99.97602853896838,2071.758986777368,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4425.766666666666
7z,DeepPerf,0.1687878672726042,4.0,0.0062964845953459,0.1114234564975564,0.0016758917589175,-3.452849314948563,0.7797435080196422,0.8820254464684842,99.97602853896838,2071.758986777368,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4326.740000000001
7z,DeepPerf,0.1687878672726042,4.0,0.0062964845953459,0.1114234564975564,0.0016758917589175,-3.452849314948563,0.7797435080196422,0.8820254464684842,99.97602853896838,2071.758986777368,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,4601.5
7z,DeepPerf,0.1687878672726042,4.0,0.0062964845953459,0.1114234564975564,0.0016758917589175,-3.452849314948563,0.7797435080196422,0.8820254464684842,99.97602853896838,2071.758986777368,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4427.913333333333
7z,DeepPerf,0.1687878672726042,4.0,0.0062964845953459,0.1114234564975564,0.0016758917589175,-3.452849314948563,0.7797435080196422,0.8820254464684842,99.97602853896838,2071.758986777368,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,4297.366666666667
7z,DeepPerf,0.1687878672726042,4.0,0.0062964845953459,0.1114234564975564,0.0016758917589175,-3.452849314948563,0.7797435080196422,0.8820254464684842,99.97602853896838,2071.758986777368,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,4307.213333333334
7z,DeepPerf,0.1687878672726042,4.0,0.0062964845953459,0.1114234564975564,0.0016758917589175,-3.452849314948563,0.7797435080196422,0.8820254464684842,99.97602853896838,2071.758986777368,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4405.54
7z,DeepPerf,0.1687878672726042,4.0,0.0062964845953459,0.1114234564975564,0.0016758917589175,-3.452849314948563,0.7797435080196422,0.8820254464684842,99.97602853896838,2071.758986777368,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4297.366666666667
7z,DT,0.0611783849710052,1.5,0.0007137022591376,0.0093213330538013,0.0176199261992619,-4.921164506145718,0.8357614396360618,0.5297086584377462,0.474472701783474,613.6455181426815,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4796.246666666667
7z,DT,0.0611783849710052,1.5,0.0007137022591376,0.0093213330538013,0.0176199261992619,-4.921164506145718,0.8357614396360618,0.5297086584377462,0.474472701783474,613.6455181426815,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,5363.12
7z,DT,0.0611783849710052,1.5,0.0007137022591376,0.0093213330538013,0.0176199261992619,-4.921164506145718,0.8357614396360618,0.5297086584377462,0.474472701783474,613.6455181426815,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,6026.919999999999
7z,DT,0.0611783849710052,1.5,0.0007137022591376,0.0093213330538013,0.0176199261992619,-4.921164506145718,0.8357614396360618,0.5297086584377462,0.474472701783474,613.6455181426815,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4706.233333333334
7z,DT,0.0611783849710052,1.5,0.0007137022591376,0.0093213330538013,0.0176199261992619,-4.921164506145718,0.8357614396360618,0.5297086584377462,0.474472701783474,613.6455181426815,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,4338.806666666666
7z,DT,0.0611783849710052,1.5,0.0007137022591376,0.0093213330538013,0.0176199261992619,-4.921164506145718,0.8357614396360618,0.5297086584377462,0.474472701783474,613.6455181426815,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,4287.98
7z,DT,0.0611783849710052,1.5,0.0007137022591376,0.0093213330538013,0.0176199261992619,-4.921164506145718,0.8357614396360618,0.5297086584377462,0.474472701783474,613.6455181426815,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4245.073333333333
7z,DT,0.0611783849710052,1.5,0.0007137022591376,0.0093213330538013,0.0176199261992619,-4.921164506145718,0.8357614396360618,0.5297086584377462,0.474472701783474,613.6455181426815,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4357.06
7z,GP,0.4768218748791666,6.0,2.017130209064268,252.75764331160525,0.0085716482164821,-0.589205480988459,0.7554438918297821,0.8378034245912631,1115.3832071510485,12343.364629458794,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5068.473333333333
7z,GP,0.4768218748791666,6.0,2.017130209064268,252.75764331160525,0.0085716482164821,-0.589205480988459,0.7554438918297821,0.8378034245912631,1115.3832071510485,12343.364629458794,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4490.62
7z,GP,0.4768218748791666,6.0,2.017130209064268,252.75764331160525,0.0085716482164821,-0.589205480988459,0.7554438918297821,0.8378034245912631,1115.3832071510485,12343.364629458794,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,6870.093333333334
7z,GP,0.4768218748791666,6.0,2.017130209064268,252.75764331160525,0.0085716482164821,-0.589205480988459,0.7554438918297821,0.8378034245912631,1115.3832071510485,12343.364629458794,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5489.373333333333
7z,GP,0.4768218748791666,6.0,2.017130209064268,252.75764331160525,0.0085716482164821,-0.589205480988459,0.7554438918297821,0.8378034245912631,1115.3832071510485,12343.364629458794,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,5635.406666666667
7z,GP,0.4768218748791666,6.0,2.017130209064268,252.75764331160525,0.0085716482164821,-0.589205480988459,0.7554438918297821,0.8378034245912631,1115.3832071510485,12343.364629458794,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,4623.7733333333335
7z,GP,0.4768218748791666,6.0,2.017130209064268,252.75764331160525,0.0085716482164821,-0.589205480988459,0.7554438918297821,0.8378034245912631,1115.3832071510485,12343.364629458794,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5220.513333333332
7z,GP,0.4768218748791666,6.0,2.017130209064268,252.75764331160525,0.0085716482164821,-0.589205480988459,0.7554438918297821,0.8378034245912631,1115.3832071510485,12343.364629458794,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5635.406666666667
7z,HINNPerf,0.1844298607294812,3.0,0.0085860127023917,0.1032128823807632,0.0009148216482164,-3.534036887910532,0.8016208971675247,0.891338784144024,8.019253994953022,2226.9689268142683,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4301.593333333332
7z,HINNPerf,0.1844298607294812,3.0,0.0085860127023917,0.1032128823807632,0.0009148216482164,-3.534036887910532,0.8016208971675247,0.891338784144024,8.019253994953022,2226.9689268142683,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4360.006666666666
7z,HINNPerf,0.1844298607294812,3.0,0.0085860127023917,0.1032128823807632,0.0009148216482164,-3.534036887910532,0.8016208971675247,0.891338784144024,8.019253994953022,2226.9689268142683,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,5979.626666666666
7z,HINNPerf,0.1844298607294812,3.0,0.0085860127023917,0.1032128823807632,0.0009148216482164,-3.534036887910532,0.8016208971675247,0.891338784144024,8.019253994953022,2226.9689268142683,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4547.12
7z,HINNPerf,0.1844298607294812,3.0,0.0085860127023917,0.1032128823807632,0.0009148216482164,-3.534036887910532,0.8016208971675247,0.891338784144024,8.019253994953022,2226.9689268142683,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,4340.473333333333
7z,HINNPerf,0.1844298607294812,3.0,0.0085860127023917,0.1032128823807632,0.0009148216482164,-3.534036887910532,0.8016208971675247,0.891338784144024,8.019253994953022,2226.9689268142683,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,4427.320000000001
7z,HINNPerf,0.1844298607294812,3.0,0.0085860127023917,0.1032128823807632,0.0009148216482164,-3.534036887910532,0.8016208971675247,0.891338784144024,8.019253994953022,2226.9689268142683,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4498.113333333333
7z,HINNPerf,0.1844298607294812,3.0,0.0085860127023917,0.1032128823807632,0.0009148216482164,-3.534036887910532,0.8016208971675247,0.891338784144024,8.019253994953022,2226.9689268142683,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4341.52
7z,LR,0.0616193134983366,5.0,2.708172294208023,8.95607020981019,0.0008994464944648,-4.053240088427516,0.8580152649805515,0.8922699206158873,150.95366738706073,9413.22856703567,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4645.820000000001
7z,LR,0.0616193134983366,5.0,2.708172294208023,8.95607020981019,0.0008994464944648,-4.053240088427516,0.8580152649805515,0.8922699206158873,150.95366738706073,9413.22856703567,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4638.066666666667
7z,LR,0.0616193134983366,5.0,2.708172294208023,8.95607020981019,0.0008994464944648,-4.053240088427516,0.8580152649805515,0.8922699206158873,150.95366738706073,9413.22856703567,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,7980.3
7z,LR,0.0616193134983366,5.0,2.708172294208023,8.95607020981019,0.0008994464944648,-4.053240088427516,0.8580152649805515,0.8922699206158873,150.95366738706073,9413.22856703567,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5088.4400000000005
7z,LR,0.0616193134983366,5.0,2.708172294208023,8.95607020981019,0.0008994464944648,-4.053240088427516,0.8580152649805515,0.8922699206158873,150.95366738706073,9413.22856703567,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,4510.14
7z,LR,0.0616193134983366,5.0,2.708172294208023,8.95607020981019,0.0008994464944648,-4.053240088427516,0.8580152649805515,0.8922699206158873,150.95366738706073,9413.22856703567,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,5960.406666666668
7z,LR,0.0616193134983366,5.0,2.708172294208023,8.95607020981019,0.0008994464944648,-4.053240088427516,0.8580152649805515,0.8922699206158873,150.95366738706073,9413.22856703567,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4789.106666666668
7z,LR,0.0616193134983366,5.0,2.708172294208023,8.95607020981019,0.0008994464944648,-4.053240088427516,0.8580152649805515,0.8922699206158873,150.95366738706073,9413.22856703567,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4510.020000000001
7z,RF,0.0636993715353985,3.0,0.0002107691920492,0.0117707631457584,0.0021448339483394,-3.4132172880226683,0.7982580771568797,0.8789528931558154,0.4877708601311475,561.4571878843789,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4500.206666666666
7z,RF,0.0636993715353985,3.0,0.0002107691920492,0.0117707631457584,0.0021448339483394,-3.4132172880226683,0.7982580771568797,0.8789528931558154,0.4877708601311475,561.4571878843789,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,5709.380000000001
7z,RF,0.0636993715353985,3.0,0.0002107691920492,0.0117707631457584,0.0021448339483394,-3.4132172880226683,0.7982580771568797,0.8789528931558154,0.4877708601311475,561.4571878843789,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,5867.58
7z,RF,0.0636993715353985,3.0,0.0002107691920492,0.0117707631457584,0.0021448339483394,-3.4132172880226683,0.7982580771568797,0.8789528931558154,0.4877708601311475,561.4571878843789,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5207.28
7z,RF,0.0636993715353985,3.0,0.0002107691920492,0.0117707631457584,0.0021448339483394,-3.4132172880226683,0.7982580771568797,0.8789528931558154,0.4877708601311475,561.4571878843789,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,4316.88
7z,RF,0.0636993715353985,3.0,0.0002107691920492,0.0117707631457584,0.0021448339483394,-3.4132172880226683,0.7982580771568797,0.8789528931558154,0.4877708601311475,561.4571878843789,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,4286.606666666666
7z,RF,0.0636993715353985,3.0,0.0002107691920492,0.0117707631457584,0.0021448339483394,-3.4132172880226683,0.7982580771568797,0.8789528931558154,0.4877708601311475,561.4571878843789,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4258.133333333333
7z,RF,0.0636993715353985,3.0,0.0002107691920492,0.0117707631457584,0.0021448339483394,-3.4132172880226683,0.7982580771568797,0.8789528931558154,0.4877708601311475,561.4571878843789,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4318.373333333334
7z,SPLConqueror,0.0602142321085071,5.0,2.7085464755259885,8.959402447384301,0.0005765682656826,-3.590485139922192,0.8570851228709493,0.8990699767867811,150.5883903679507,9427.633963714638,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4643.646666666667
7z,SPLConqueror,0.0602142321085071,5.0,2.7085464755259885,8.959402447384301,0.0005765682656826,-3.590485139922192,0.8570851228709493,0.8990699767867811,150.5883903679507,9427.633963714638,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4942.073333333335
7z,SPLConqueror,0.0602142321085071,5.0,2.7085464755259885,8.959402447384301,0.0005765682656826,-3.590485139922192,0.8570851228709493,0.8990699767867811,150.5883903679507,9427.633963714638,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,8133.873333333334
7z,SPLConqueror,0.0602142321085071,5.0,2.7085464755259885,8.959402447384301,0.0005765682656826,-3.590485139922192,0.8570851228709493,0.8990699767867811,150.5883903679507,9427.633963714638,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5087.22
7z,SPLConqueror,0.0602142321085071,5.0,2.7085464755259885,8.959402447384301,0.0005765682656826,-3.590485139922192,0.8570851228709493,0.8990699767867811,150.5883903679507,9427.633963714638,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,4476.446666666668
7z,SPLConqueror,0.0602142321085071,5.0,2.7085464755259885,8.959402447384301,0.0005765682656826,-3.590485139922192,0.8570851228709493,0.8990699767867811,150.5883903679507,9427.633963714638,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,6451.573333333335
7z,SPLConqueror,0.0602142321085071,5.0,2.7085464755259885,8.959402447384301,0.0005765682656826,-3.590485139922192,0.8570851228709493,0.8990699767867811,150.5883903679507,9427.633963714638,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5081.54
7z,SPLConqueror,0.0602142321085071,5.0,2.7085464755259885,8.959402447384301,0.0005765682656826,-3.590485139922192,0.8570851228709493,0.8990699767867811,150.5883903679507,9427.633963714638,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4476.446666666668
7z,SVR,0.1328515814181176,7.0,2.0805001653908595,8.860819435950123,0.000960947109471,-3.548455109221305,0.809052713577469,0.8879384288798472,61.91440949581263,7107.55184501845,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4634.453333333334
7z,SVR,0.1328515814181176,7.0,2.0805001653908595,8.860819435950123,0.000960947109471,-3.548455109221305,0.809052713577469,0.8879384288798472,61.91440949581263,7107.55184501845,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4706.306666666667
7z,SVR,0.1328515814181176,7.0,2.0805001653908595,8.860819435950123,0.000960947109471,-3.548455109221305,0.809052713577469,0.8879384288798472,61.91440949581263,7107.55184501845,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,6341.393333333334
7z,SVR,0.1328515814181176,7.0,2.0805001653908595,8.860819435950123,0.000960947109471,-3.548455109221305,0.809052713577469,0.8879384288798472,61.91440949581263,7107.55184501845,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4768.466666666666
7z,SVR,0.1328515814181176,7.0,2.0805001653908595,8.860819435950123,0.000960947109471,-3.548455109221305,0.809052713577469,0.8879384288798472,61.91440949581263,7107.55184501845,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,4536.000000000001
7z,SVR,0.1328515814181176,7.0,2.0805001653908595,8.860819435950123,0.000960947109471,-3.548455109221305,0.809052713577469,0.8879384288798472,61.91440949581263,7107.55184501845,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,6258.973333333333
7z,SVR,0.1328515814181176,7.0,2.0805001653908595,8.860819435950123,0.000960947109471,-3.548455109221305,0.809052713577469,0.8879384288798472,61.91440949581263,7107.55184501845,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4586.16
7z,SVR,0.1328515814181176,7.0,2.0805001653908595,8.860819435950123,0.000960947109471,-3.548455109221305,0.809052713577469,0.8879384288798472,61.91440949581263,7107.55184501845,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4545.193333333334
Apache,DaL,0.2378790871152104,1.0,1.989262292867444e-05,5.040013099980034e-05,0.03671875,-3.0149085225606544,0.8214946613114392,0.1293415730961321,0.7869973577048571,124.540625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,170.78607333333326
Apache,DaL,0.2378790871152104,1.0,1.989262292867444e-05,5.040013099980034e-05,0.03671875,-3.0149085225606544,0.8214946613114392,0.1293415730961321,0.7869973577048571,124.540625,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,170.6145333333333
Apache,DaL,0.2378790871152104,1.0,1.989262292867444e-05,5.040013099980034e-05,0.03671875,-3.0149085225606544,0.8214946613114392,0.1293415730961321,0.7869973577048571,124.540625,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,170.37508
Apache,DaL,0.2378790871152104,1.0,1.989262292867444e-05,5.040013099980034e-05,0.03671875,-3.0149085225606544,0.8214946613114392,0.1293415730961321,0.7869973577048571,124.540625,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,170.20084666666665
Apache,DaL,0.2378790871152104,1.0,1.989262292867444e-05,5.040013099980034e-05,0.03671875,-3.0149085225606544,0.8214946613114392,0.1293415730961321,0.7869973577048571,124.540625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,170.7762
Apache,DaL,0.2378790871152104,1.0,1.989262292867444e-05,5.040013099980034e-05,0.03671875,-3.0149085225606544,0.8214946613114392,0.1293415730961321,0.7869973577048571,124.540625,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,170.75377333333333
Apache,DaL,0.2378790871152104,1.0,1.989262292867444e-05,5.040013099980034e-05,0.03671875,-3.0149085225606544,0.8214946613114392,0.1293415730961321,0.7869973577048571,124.540625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,170.74202000000002
Apache,DaL,0.2378790871152104,1.0,1.989262292867444e-05,5.040013099980034e-05,0.03671875,-3.0149085225606544,0.8214946613114392,0.1293415730961321,0.7869973577048571,124.540625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,170.7762
Apache,DECART,0.3239747149433732,0.0,0.0008810955263494,0.0011454253984032,0.15,-3.3443461801119785,0.8668666627786887,0.0508028164830696,0.8492327940629243,129.9890625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,170.76399999999998
Apache,DECART,0.3239747149433732,0.0,0.0008810955263494,0.0011454253984032,0.15,-3.3443461801119785,0.8668666627786887,0.0508028164830696,0.8492327940629243,129.9890625,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,170.57484000000002
Apache,DECART,0.3239747149433732,0.0,0.0008810955263494,0.0011454253984032,0.15,-3.3443461801119785,0.8668666627786887,0.0508028164830696,0.8492327940629243,129.9890625,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,170.28800000000004
Apache,DECART,0.3239747149433732,0.0,0.0008810955263494,0.0011454253984032,0.15,-3.3443461801119785,0.8668666627786887,0.0508028164830696,0.8492327940629243,129.9890625,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,170.31068000000002
Apache,DECART,0.3239747149433732,0.0,0.0008810955263494,0.0011454253984032,0.15,-3.3443461801119785,0.8668666627786887,0.0508028164830696,0.8492327940629243,129.9890625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,170.73590000000002
Apache,DECART,0.3239747149433732,0.0,0.0008810955263494,0.0011454253984032,0.15,-3.3443461801119785,0.8668666627786887,0.0508028164830696,0.8492327940629243,129.9890625,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,170.7387333333333
Apache,DECART,0.3239747149433732,0.0,0.0008810955263494,0.0011454253984032,0.15,-3.3443461801119785,0.8668666627786887,0.0508028164830696,0.8492327940629243,129.9890625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,170.69081999999997
Apache,DECART,0.3239747149433732,0.0,0.0008810955263494,0.0011454253984032,0.15,-3.3443461801119785,0.8668666627786887,0.0508028164830696,0.8492327940629243,129.9890625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,170.73590000000002
Apache,DeepPerf,0.1013348181603755,1.0,2.442515142031532e-05,7.643210672689249e-05,0.0265625,-3.039927791018634,0.840486991063942,0.1407963472688909,41.186298328189466,123.41953125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,170.648
Apache,DeepPerf,0.1013348181603755,1.0,2.442515142031532e-05,7.643210672689249e-05,0.0265625,-3.039927791018634,0.840486991063942,0.1407963472688909,41.186298328189466,123.41953125,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,170.59121333333331
Apache,DeepPerf,0.1013348181603755,1.0,2.442515142031532e-05,7.643210672689249e-05,0.0265625,-3.039927791018634,0.840486991063942,0.1407963472688909,41.186298328189466,123.41953125,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,169.85930666666664
Apache,DeepPerf,0.1013348181603755,1.0,2.442515142031532e-05,7.643210672689249e-05,0.0265625,-3.039927791018634,0.840486991063942,0.1407963472688909,41.186298328189466,123.41953125,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,170.19718000000003
Apache,DeepPerf,0.1013348181603755,1.0,2.442515142031532e-05,7.643210672689249e-05,0.0265625,-3.039927791018634,0.840486991063942,0.1407963472688909,41.186298328189466,123.41953125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,170.72986
Apache,DeepPerf,0.1013348181603755,1.0,2.442515142031532e-05,7.643210672689249e-05,0.0265625,-3.039927791018634,0.840486991063942,0.1407963472688909,41.186298328189466,123.41953125,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,170.73944666666668
Apache,DeepPerf,0.1013348181603755,1.0,2.442515142031532e-05,7.643210672689249e-05,0.0265625,-3.039927791018634,0.840486991063942,0.1407963472688909,41.186298328189466,123.41953125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,170.21960666666666
