Name,FDC,FBD,PLO,Ske,Kur,CL,h_max,Ang,NBC,Gra,MAPE,RD
Landscape results/7z/DaL/7z_DaL_Run25_None-Off_3600-65040_06-05_23-16-46_2.csv,-0.04194598607245352,2,0.002244772447724477,2.6976636297192926,8.294805076759472,3.788989169777477,0.744555670423034,nan,0.8768870627012154,nan,5.196869798130465,1904.7770295202952
Landscape results/7z/DaL/7z_DaL_Run29_None-Off_3600-65040_06-06_00-59-23_2.csv,-0.0014423579403704196,4,0.0022755227552275522,2.665163376510184,8.070452963574326,3.0170154711329733,0.7960440082481959,nan,0.882555292124971,nan,5.161227972675735,1866.6618388683887
Landscape results/7z/DaL/7z_DaL_Run3_None-Off_3600-65040_06-05_14-37-22_2.csv,0.07583549069193792,5,0.0023985239852398524,2.665542838085594,8.009684325773085,3.8572485470127713,0.7742701266690182,nan,0.8758099283481358,nan,5.516236448869149,2007.0921586715867
Landscape results/7z/DaL/7z_DaL_Run19_None-Off_3600-65040_06-05_20-58-03_2.csv,0.03634758460293277,3,0.002060270602706027,2.713430476565009,8.4005613351514,3.1348570756518157,0.7517545027222816,nan,0.8797897497597656,nan,4.840974398059837,1839.0767681426814
Landscape results/7z/DaL/7z_DaL_Run6_None-Off_3600-65040_06-05_15-31-36_2.csv,0.04743431160043754,4,0.0019526445264452645,2.6653004862152003,8.06434295924577,4.0068038234253445,0.7741926634952868,nan,0.8845510499066476,nan,5.343007187854298,1960.6018296432965
Landscape results/7z/DaL/7z_DaL_Run2_None-Off_3600-65040_06-05_13-51-50_2.csv,0.1562440388642171,3,0.0018911439114391144,2.6831784911742615,8.163826296771575,3.3582277387614896,0.8117240319431166,nan,0.889851823746461,nan,5.825010765598792,2015.6005535055351
Landscape results/7z/DaL/7z_DaL_Run20_None-Off_3600-65040_06-05_21-22-05_2.csv,0.08745752614563758,3,0.0017835178351783517,2.691311806454463,8.23839821993289,3.401701378947484,0.7746515817109991,nan,0.888350200128789,nan,5.153217866644796,1932.3163745387453
Landscape results/7z/DaL/7z_DaL_Run23_None-Off_3600-65040_06-05_22-27-50_2.csv,-0.06671223148325026,4,0.0008148831488314883,2.6820463098785745,8.141767871428954,3.1741937527352966,0.7694009513925156,nan,0.8871072930472403,nan,6.384342790017708,2183.7953874538744
Landscape results/7z/DaL/7z_DaL_Run28_None-Off_3600-65040_06-06_00-31-04_2.csv,0.10511082648372984,3,0.0017681426814268142,2.674725754641864,8.152991871583637,3.1204631237120926,0.7935790079115531,nan,0.8863859146793804,nan,5.862424046750849,2004.2958948339483
Landscape results/7z/DaL/7z_DaL_Run27_None-Off_3600-65040_06-06_00-08-45_2.csv,0.10797616464341021,2,0.003459409594095941,2.690308207873524,8.211961965972906,3.547094690746077,0.7185154719117648,nan,0.8753011177160958,nan,5.088383713027969,1824.040774907749
Landscape results/7z/DaL/7z_DaL_Run8_None-Off_3600-65040_06-05_16-25-52_2.csv,-0.04047501227333725,4,0.0009840098400984009,2.6965950697663446,8.310755084247305,3.3179954753936345,0.7894617788641689,nan,0.8904052123479064,nan,4.758240297987837,1851.2507533825337
Landscape results/7z/DaL/7z_DaL_Run16_None-Off_3600-65040_06-05_19-45-56_2.csv,0.17014465197171486,5,0.0036746617466174663,2.686069651037843,8.21215789013563,4.092889501220709,0.7878792686780115,nan,0.8691553675404873,nan,5.244051299295091,1875.722401599016
Landscape results/7z/DaL/7z_DaL_Run30_None-Off_3600-65040_06-06_01-22-45_2.csv,0.05309168936421678,4,0.0031826568265682655,2.672935120037335,8.107155780159083,3.6845003139476495,0.7596714437398261,nan,0.8663876626410132,nan,5.411766384468509,1931.520479704797
Landscape results/7z/DaL/7z_DaL_Run4_None-Off_3600-65040_06-05_14-57-37_2.csv,-0.023621806533547406,3,0.0014452644526445264,2.7033061245948735,8.319138503909912,3.0269003107434154,0.763740635461995,nan,0.887345967881222,nan,4.798337756898358,1844.6997386223861
Landscape results/7z/DaL/7z_DaL_Run12_None-Off_3600-65040_06-05_18-09-24_2.csv,0.013613170924952015,2,0.0017988929889298892,2.6767531144430903,8.143393418445942,3.476896757185114,0.7773775260294374,nan,0.8846511070317331,nan,5.40523833018762,1929.9504151291512
Landscape results/7z/DaL/7z_DaL_Run5_None-Off_3600-65040_06-05_15-13-03_2.csv,-0.012320320338190461,3,0.0011531365313653136,2.686978702950639,8.179329029717948,4.193763579299322,0.768803859050741,nan,0.8927753329136687,nan,6.069315090065921,2075.3789360393603
Landscape results/7z/DaL/7z_DaL_Run11_None-Off_3600-65040_06-05_17-43-59_2.csv,-0.02495892858943704,5,0.00531980319803198,2.6922454557487243,8.225137253906194,3.4482360393550757,0.7860434138721983,nan,0.8748485552289488,nan,5.554390315635526,1960.9862546125462
