Option,Primary Category,Subcategory,Symbol
topology.workers,Resource,CPU,R1
component.bolt_num,Resource,CPU,R1
topology.acker.executors,Resource,CPU,R1
message.size,Resource,Memory,R3
component.spout_num,Resource,CPU,R1
topology.serialized.message.size.metrics,Functional,Core,F1
topology.max.spout.pending,Resource,Queue,R4
storm.messaging.netty.min_wait_ms,Resource,Queue,R4
topology.transfer.buffer.size,Resource,Memory,R3
storm.messaging.netty.max_wait_ms,Resource,Queue,R4
topology.level,Functional,Core,F1
topology.priority,Functional,Core,F1
