Option,Primary Category,Subcategory,Symbol
bs_64x1,Resource,CPU,R1
bs_64x2,Resource,CPU,R1
bs_128x8,Resource,CPU,R1
bs_128x1,Resource,CPU,R1
bs_128x2,Resource,CPU,R1
bs_256x1,Resource,CPU,R1
bs_256x2,Resource,CPU,R1
bs_64x4,Resource,CPU,R1
bs_128x4,Resource,CPU,R1
bs_32x4,Resource,CPU,R1
bs_32x2,Resource,CPU,R1
bs_32x32,Resource,CPU,R1
bs_32x1,Resource,CPU,R1
bs_512x1,Resource,CPU,R1
bs_32x16,Resource,CPU,R1
bs_512x2,Resource,CPU,R1
bs_1024x1,Resource,CPU,R1
bs_64x8,Resource,CPU,R1
bs_32x8,Resource,CPU,R1
bs_256x4,Resource,CPU,R1
Linear1D,Functional,Core,F1
Linear2D,Functional,Core,F1
Array2D,Functional,Core,F1
API,Utility,Utility,F2
CUDA,Utility,Utility,F2
OpenCL,Utility,Utility,F2
Ldg,Utility,Utility,F2
TextureMemory,Resource,Memory,R3
LocalMemory,Resource,Memory,R3
pixelPerThread,Functional,Core,F1
padding,Functional,Core,F1
