Option,Primary Category,Subcategory,Symbol
mapreduce_task_io_sort_factor,Resource,CPU,R1
mapreduce_reduce_shuffle_merge_percent,Resource,CPU,R1
mapreduce_output_fileoutputformat_compress,Functional,Core,F1
mapreduce_reduce_merge_inmem_threshold,Resource,Memory,R3
mapreduce_job_reduces,Resource,CPU,R1
mapreduce_map_sort_spill_percent,Resource,Memory,R3
mapreduce_reduce_shuffle_input_buffer_percent,Resource,Memory,R3
mapreduce_task_io_sort_mb,Resource,Memory,R3
mapreduce_map_output_compress,Functional,Core,F1
