Option,Primary Category,Subcategory,Symbol
max,Functional,Core,F1
memory_based,Functional,Core,F1
min,Functional,Core,F1
none,Functional,Core,F1
parallel,Functional,Core,F1
parallel_force,Functional,Core,F1
polly,Functional,Core,F1
polly_delinearize,Functional,Core,F1
polly_dependences_analysis_type,Functional,Core,F1
polly_no_tiling,Functional,Core,F1
polly_opt_fusion,Functional,Core,F1
polly_opt_simplify_deps,Functional,Core,F1
polly_parallel,Functional,Core,F1
polly_vectorizer,Functional,Core,F1
pollydefaulttilesize,Resource,Memory,R3
pollydefaulttilesize_4,Resource,Memory,R3
pollydefaulttilesize_16,Resource,Memory,R3
pollydefaulttilesize_64,Resource,Memory,R3
pollydefaulttilesize_256,Resource,Memory,R3
pollydefaulttilesize_1024,Resource,Memory,R3
pollyoptmaxcoefficient,Functional,Core,F1
pollyoptmaxcoefficient_1,Functional,Core,F1
pollyoptmaxcoefficient_10,Functional,Core,F1
pollyoptmaxcoefficient_100,Functional,Core,F1
pollyoptmaxcoefficient_1000,Functional,Core,F1
pollyoptmaxcoefficient_10000,Functional,Core,F1
pollyoptmaxconstantterm,Functional,Core,F1
pollyoptmaxconstantterm_1,Functional,Core,F1
pollyoptmaxconstantterm_10,Functional,Core,F1
pollyoptmaxconstantterm_100,Functional,Core,F1
pollyoptmaxconstantterm_1000,Functional,Core,F1
pollyoptmaxconstantterm_10000,Functional,Core,F1
pollyrtcmaxparameters,Functional,Core,F1
pollyrtcmaxparameters_1,Functional,Core,F1
pollyrtcmaxparameters_2,Functional,Core,F1
pollyrtcmaxparameters_4,Functional,Core,F1
pollyrtcmaxparameters_8,Functional,Core,F1
pollyrtcmaxparameters_16,Functional,Core,F1
value_based,Functional,Core,F1
