Option,Primary Category,Subcategory,Symbol
Quality,Functional,Core,F1
good,Functional,Core,F1
realtime,Functional,Core,F1
AutoAltRef,Functional,Core,F1
AdaptiveQuantizationMode,Functional,Core,F1
cyclicRefresh,Functional,Core,F1
endUsage,Functional,Core,F1
variableBitrate,Functional,Core,F1
constantBitrate,Functional,Core,F1
constrainedQuality,Functional,Core,F1
lossless,Functional,Core,F1
FrameBoost,Functional,Core,F1
lagInFrames,Resource,CPU,R1
lagInFrames_0,Resource,CPU,R1
lagInFrames_8,Resource,CPU,R1
lagInFrames_16,Resource,CPU,R1
bitRate,Resource,Storage,R2
bitRate_300,Resource,Storage,R2
bitRate_600,Resource,Storage,R2
bitRate_900,Resource,Storage,R2
bitRate_1200,Resource,Storage,R2
bitRate_1500,Resource,Storage,R2
Threads,Resource,CPU,R1
Threads_2,Resource,CPU,R1
Threads_4,Resource,CPU,R1
Threads_6,Resource,CPU,R1
Threads_8,Resource,CPU,R1
Threads_10,Resource,CPU,R1
cpuUsed,Resource,CPU,R1
cpuUsed_0,Resource,CPU,R1
cpuUsed_2,Resource,CPU,R1
cpuUsed_4,Resource,CPU,R1
cpuUsed_6,Resource,CPU,R1
cpuUsed_8,Resource,CPU,R1
TileColumns,Resource,CPU,R1
TileColumns_0,Resource,CPU,R1
TileColumns_3,Resource,CPU,R1
TileColumns_6,Resource,CPU,R1
