Option,Primary Category,Subcategory,Symbol
OperatingSystemCharacteristics,Functional,Core,F1
SQLITE_SECURE_DELETE,Functional,Core,F1
ChooseSQLITE_TEMP_STORE,Functional,Core,F1
SQLITE_TEMP_STOREzero,Functional,Core,F1
SQLITE_TEMP_STOREone,Functional,Core,F1
SQLITE_TEMP_STOREtwo,Functional,Core,F1
SQLITE_TEMP_STOREthree,Functional,Core,F1
EnableFeatures,Functional,Core,F1
SQLITE_ENABLE_ATOMIC_WRITE,Functional,Core,F1
SQLITE_ENABLE_STAT2,Functional,Core,F1
DisableFeatures,Functional,Core,F1
SQLITE_DISABLE_LFS,Functional,Core,F1
SQLITE_DISABLE_DIRSYNC,Functional,Core,F1
OmitFeatures,Functional,Core,F1
SQLITE_OMIT_AUTOMATIC_INDEX,Functional,Core,F1
SQLITE_OMIT_BETWEEN_OPTIMIZATION,Functional,Core,F1
SQLITE_OMIT_BTREECOUNT,Functional,Core,F1
SQLITE_OMIT_LIKE_OPTIMIZATION,Functional,Core,F1
SQLITE_OMIT_LOOKASIDE,Functional,Core,F1
SQLITE_OMIT_OR_OPTIMIZATION,Functional,Core,F1
SQLITE_OMIT_QUICKBALANCE,Functional,Core,F1
SQLITE_OMIT_SHARED_CACHE,Functional,Core,F1
SQLITE_OMIT_XFER_OPT,Functional,Core,F1
Options,Functional,Core,F1
SetAutoVacuum,Functional,Core,F1
AutoVacuumOff,Functional,Core,F1
AutoVacuumOn,Functional,Core,F1
SetCacheSize,Resource,Memory,R3
StandardCacheSize,Resource,Memory,R3
LowerCacheSize,Resource,Memory,R3
HigherCacheSize,Resource,Memory,R3
LockingMode,Functional,Core,F1
ExclusiveLock,Functional,Core,F1
NormalLockingMode,Functional,Core,F1
PageSize,Resource,Memory,R3
StandardPageSize,Resource,Memory,R3
LowerPageSize,Resource,Memory,R3
HigherPageSize,Resource,Memory,R3
HighestPageSize,Resource,Memory,R3
